Height (m),Height (cm),Height (mm),Weight (kg),Weight (g),BMI
1.6872700594236814,168.72700594236812,1687.2700594236812,51.57145928433671,51571.45928433671,18.11507850470549
1.975357153204958,197.5357153204958,1975.357153204958,81.82052056318902,81820.52056318903,20.968674564365166
1.8659969709057025,186.59969709057026,1865.9969709057027,65.71779905381634,65717.79905381633,18.873877905092513
1.7993292420985183,179.93292420985182,1799.329242098518,75.42853455823514,75428.53455823514,23.297772181910947
1.5780093202212182,157.80093202212183,1578.0093202212183,95.37832369630465,95378.32369630465,38.302803050279046
1.5779972601681014,157.79972601681013,1577.9972601681013,62.464611457443745,62464.611457443745,25.085430197816386
1.5290418060840998,152.90418060840997,1529.0418060840998,70.51914615178148,70519.14615178149,30.162568808411077
1.9330880728874675,193.30880728874675,1933.0880728874674,87.77755692715243,87777.55692715243,23.48984800750009
1.8005575058716043,180.05575058716045,1800.5575058716045,61.43990827458112,61439.908274581125,18.951193499496327
1.8540362888980226,185.40362888980226,1854.0362888980226,53.84899549143965,53848.99549143965,15.665387630422211
1.5102922471479012,151.02922471479013,1510.2922471479014,64.48757265,64487.57265,28.27183802976409
1.984954926080997,198.4954926080997,1984.9549260809972,58.06106436270022,58061.06436270022,14.736138486595635
1.916221320400211,191.62213204002109,1916.221320400211,96.48488261712865,96484.88261712865,26.276525396178442
1.6061695553391382,160.61695553391382,1606.1695553391382,90.40601897822086,90406.01897822086,35.044072181562505
1.5909124836035504,159.09124836035505,1590.9124836035505,81.67018782552117,81670.18782552116,32.26792025761085
1.5917022549267168,159.17022549267168,1591.7022549267167,93.57302950938589,93573.02950938589,36.93405803845599
1.6521211214797689,165.21211214797688,1652.1211214797688,90.18360384495573,90183.60384495572,33.04028762573377
1.762378215816119,176.2378215816119,1762.378215816119,59.32850294430179,59328.50294430179,19.101398178639663
1.7159725093210578,171.5972509321058,1715.972509321058,94.62794992449889,94627.94992,32.13651506880986
1.645614570099021,164.5614570099021,1645.6145700990212,76.96711209578254,76967.11209578253,28.421627538464467
1.8059264473611898,180.59264473611898,1805.9264473611897,90.37200775820313,90372.00775820312,27.709827012301748
1.569746930326021,156.9746930326021,1569.746930326021,94.80456499617466,94804.56499617467,38.474232483727796
1.646072324267609,164.6072324267609,1646.072324267609,65.90017374859319,65900.17375,24.32140913088727
1.6831809216468459,168.31809216468457,1683.1809216468457,55.50259622638384,55502.59622638384,19.590778692654464
1.728034992108518,172.8034992108518,1728.034992108518,61.39675812709709,61396.758127097084,20.56081734738347
1.892587980696507,189.25879806965068,1892.5879806965067,71.35538943131282,71355.38943131281,19.92116008023763
1.5998368910791798,159.98368910791797,1599.8368910791796,90.90073829612466,90900.73829612466,35.51534161413844
1.7571172192068059,175.7117219206806,1757.1172192068059,93.03652916281717,93036.52916281717,30.133670194456634
1.7962072844310213,179.62072844310214,1796.2072844310214,50.34760652655954,50347.60652655954,15.605077247621937
1.523225206359999,152.3225206359999,1523.225206359999,75.53736512887829,75537.36512887829,32.55619163538397
1.803772425950719,180.37724259507192,1803.7724259507193,70.87055015743894,70870.55015743893,21.78222886625136
1.5852620618436457,158.52620618436458,1585.2620618436458,61.105390523536514,61105.39052353652,24.31517454119015
1.5325257964926398,153.25257964926396,1532.5257964926395,55.99326836668414,55993.26836668414,23.840767429242003
